Dr. Manad Salem:,Manad Salem:
Dr. Michael Milhoff:,Michael Milhoff:
Dr. Tim Stenzel:,Tim Stenzel (FDA IVD Director):
Dr. Uwe Scherf:,Uwe Scherf:
Irene Aihie:,Irene Aihie (Moderator):
Man:,UnknownSpeaker:
Marcela Prado:,Marcelo Prado:
Monica:, Monica Motta (Moderator):
Richard Montegna:,Richard Montagna:
Timothy Stenzel:,Tim Stenzel (FDA IVD Director):
Woman 1:,UnknownSpeaker 2:
Woman:,UnknownSpeaker 1:
